Title,Venue,Year,Preprint?,Abstains / defers?,Distribution-free property,Covariate / label shift handled?,OOD handling,Open limitation (its assumption / data / scope),Reusable asset (code/split/score)
TRUECAM: Trust in NSCLC Diagnosis with a Conformalized Uncertainty-Aware Framework,medRxiv / arXiv,2024-25,Yes,Yes,Yes (CRC),"Partial -- empirical only; authors state coverage cannot be guaranteed in deployment because validity is restored by detecting-and-removing OOD inputs, not by a guarantee that provably survives in-scope covariate shift",Yes (SNGP far-OOD detector),"Single disease/modality (NSCLC histopathology), single cohort-pair (TCGA<->CPTAC); shift-validity is empirical via OOD removal, not a maintained distribution-free guarantee under covariate shift; not yet peer-reviewed",Code (github.com/iamownt/TRUECAM); TCGA<->CPTAC cross-cohort split; SNGP OOD-detector design; CRC calibration recipe
Conformal Triage for Medical Imaging AI Deployment,medRxiv,2024,Yes,Yes,Yes (PPV/NPV control),Partial -- shift handled by recalibrating on local target labels (not a guarantee that travels without labeled target data),No,"No far-OOD routing at all; shift addressed by recalibration requiring labeled target data, not weighting/adaptation; private single-site (MGB) evaluation, not public or multi-dataset",PPV/NPV-targeted conformal triage procedure (re-derivable); no public split or code released
Conformal selective prediction with cost-aware deferral for safe clinical triage under distribution shift (Kim),Scientific Reports,2026,No,Yes,Yes (split/Mondrian/weighted CP),Partial -- weighted CP degrades gracefully under a single temporal shift split rather than maintaining the guarantee,No,"No far-OOD module; one EHR task (sepsis) only, single temporal train/test split, not imaging or multi-dataset; coverage is empirically graceful, not guaranteed, under shift","Weighted/Mondrian conformal deferral procedure; PhysioNet 2019 sepsis split (public, reusable benchmark)"
Audited Conformal Prediction under Unknown Distribution Shift,arXiv,2026,Yes,"Partial -- produces prediction sets, not a native abstain/defer decision",Yes (marginal coverage),"Yes (CAMELYON17, but requires labeled target data)",No -- covariate shift only; no far-OOD component,"No native deferral mechanism (sets only); needs labeled target data to audit/correct coverage; handles covariate shift only, not far-OOD; single benchmark",CAMELYON17-WILDS evaluation split; audited-coverage correction procedure
Selective Classification Under Distribution Shifts (Liang and Sun),TMLR,2024,No,Yes,No -- confidence-score method with no distribution-free guarantee,"Yes (covariate + label shift, non-medical)",Yes (label-shift/OOD aware),"No distribution-free guarantee of any kind (risk-coverage curves only, not a coverage/risk theorem); evaluated on ImageNet/Amazon-WILDS, not medical data",Confidence-score construction for joint shift+OOD selective classification; ImageNet/Amazon-WILDS shift splits
Selective Conformal Risk Control (SCRC),arXiv,2025-26,Yes,Yes (two-stage select-then-control),Yes (SCRC-T exact finite-sample; SCRC-I PAC),No -- guarantees assume exchangeability; SCRC-T even pools calibration and test,No,"Guarantee assumes exchangeability outright (no shift mechanism at all); no far-OOD routing; evaluated on two general public datasets, not medical shift -- this is the closest distribution-free-guarantee ancestor for the selection step, but shift-free","SCRC-T / SCRC-I select-then-control proof structure (see summary below); general-purpose, reusable on any score+selection setup"
Conformal Selective Prediction with General Risk Control (SCoRE),arXiv,2026,Yes,Yes,Yes (e-value-based risk control),No -- valid only under exchangeability,No,Same gap as SCRC: e-value risk control is exchangeability-only; no shift or OOD handling; no medical validation,"e-value risk-control construction (alternative proof route to SCRC, worth comparing in design doc)"
Pitfalls of Conformal Predictions for Medical Image Classification,arXiv / UNSURE-MICCAI workshop,2025,Yes,"N/A (critique, not a method)",N/A,N/A,N/A,"Not a method -- demonstrates conformal coverage is unreliable under real medical input/label shift and argues conformal should not be used for selective classification as-is; used here as motivating evidence that the gap is open, not as a competitor to out-perform",None (critique paper); cite as motivation in positioning memo intro
A Deployment Audit of Release-Side Risk in Conformal Triage under Prevalence Shift,arXiv,2026,Yes,"N/A (critique, not a method)",N/A,N/A,N/A,"Not a method -- shows conformal-triage guarantees (e.g. Conformal Triage above) can break under prevalence shift specifically; used as motivating evidence, not a competitor row to beat",None (critique paper); cite alongside the Pitfalls paper as motivation
"Conformal Prediction Under Covariate Shift (Tibshirani, Foygel Barber, Candes, Ramdas)",NeurIPS,2019,No,No -- not selective; issues an interval/set for every input,Yes (weighted exchangeability quantile),"Yes (covariate shift, with a known/estimable likelihood ratio)",No,"Foundational weighted-conformal machinery, but no abstention mechanism, no far-OOD component, and never validated on medical shift data -- a component this pipeline composes with selection, not a competitor",weighted_conformal_threshold construction verified against ryantibs/conformal in 0.1.5; density-ratio-via-discriminator estimation recipe
Adaptive Conformal Inference Under Distribution Shift (Gibbs and Candes),NeurIPS,2021,No,"No -- not selective; online interval update, no abstain decision",Yes (long-run coverage guarantee),"Yes (arbitrary online drift, via label feedback)",No,"Foundational online-shift machinery; not selective, not far-OOD-aware, not validated on medical shift data, and the guarantee is long-run/amortized rather than per-case finite-sample","alpha_t update rule verified against herbps10/AdaptiveConformal in 0.1.5; reserved for the temporal/continual shift track (2.2a), not the core MVN"
SelectiveNet: Integrated Reject Option,ICML,2019,No,Yes,No -- risk control is in-distribution/PAC under the i.i.d. assumption only,No,No,No distribution-free guarantee under shift of any kind; pure in-distribution abstention; no far-OOD handling -- serves only as the strong-baseline abstention head in the seed-baseline comparison (0.3 step's baseline list),Joint train-time selection-head architecture; reusable as a UQ-score baseline (softmax-response variant) against this pipeline
Deep Gamblers: Learning to Abstain with Portfolio Theory,NeurIPS,2019,No,Yes,"No -- same family as SelectiveNet, abstention only, no guarantee",No,No,Same gap as SelectiveNet: abstention mechanism with no distribution-free guarantee and no shift/OOD handling; included only as an alternative abstention-score baseline,Portfolio-theory abstention training objective; reusable as a second abstention-score baseline
Deep ensembles / MC-dropout as UQ-based abstention (Lakshminarayanan 2017; Gal and Ghahramani 2016),NeurIPS / ICML,2017 / 2016,No,Partial -- thresholded abstention possible but not a native mechanism,No -- no distribution-free guarantee; calibration is a heuristic,No -- calibration is known to degrade under shift (Ovadia et al. 2019),Partial -- ensemble disagreement can heuristically flag far-OOD but with no error control,"No guarantee at any stage; calibration degrades under shift (the well-documented Ovadia et al. 2019 finding); OOD flagging is heuristic, uncontrolled -- the strong classical UQ baseline this pipeline must beat on both coverage AND abstention quality",Ensemble/MC-dropout uncertainty score as a baseline scoring function feeding the selection rule g(x)=1[u(x)<=tau]
Mahalanobis / Energy / kNN OOD detection (Lee 2018; Liu 2020; Sun 2022),NeurIPS,2018 / 2020 / 2022,No,"Partial -- flag/route only, not an abstention policy with cost structure",No -- no selective coverage or risk-control guarantee,No -- not a selective-prediction method at all,Yes -- this is the (4) component itself,"Pure far-OOD detection scores, no selective coverage or risk guarantee attached -- exactly the OOD building block this pipeline integrates, not a competing end-to-end method",Mahalanobis/kNN scoring functions verified against mueller-mp/maha-norm and deeplearning-wisc/knn-ood; reusable as-is as this pipeline's OOD component
